@relation synape_matrix

@attribute bves.p10 numeric
@attribute bves.p20 numeric
@attribute bves.p30 numeric
@attribute bves.p40 numeric
@attribute bves.p50 numeric
@attribute bves.p60 numeric
@attribute bves.p70 numeric
@attribute bves.p80 numeric
@attribute bves.p90 numeric
@attribute bves.p100 numeric
@attribute bves.p200 numeric
@attribute bves.p300 numeric
@attribute bves.p400 numeric
@attribute bves.p500 numeric

@data
1,13,32,35,66,78,96,115,139,161,347,507,626,772
0,3,10,19,36,52,63,68,79,87,224,408,626,762
10,28,37,50,60,81,92,108,129,153,301,414,506,575
4,15,24,36,51,68,79,89,105,116,247,353,449,535
1,4,12,18,22,31,48,57,66,75,152,243,318,369
4,7,10,14,22,25,30,34,39,44,69,93,115,128
0,2,9,16,21,32,41,50,60,77,123,149,173,175
1,5,9,12,20,23,31,35,45,48,73,104,145,179
2,8,23,31,46,67,75,89,101,113,250,417,548,627
1,3,5,9,15,19,27,29,32,37,102,157,167,171
1,6,16,33,41,63,85,97,109,137,338,477,568,634
4,8,12,19,21,25,29,32,37,42,86,169,226,265
0,0,3,7,11,24,32,43,53,68,171,237,291,327
1,3,7,10,14,19,25,34,41,50,149,177,180,180
5,5,7,9,21,34,39,45,50,55,94,120,130,133
7,17,31,45,60,76,84,98,107,114,228,297,351,373
10,24,37,49,61,78,100,118,132,151,290,370,404,448
12,43,69,97,134,170,206,243,287,318,608,772,881,942
5,12,15,19,27,29,35,39,44,51,130,162,165,165
4,7,16,28,33,43,48,58,67,75,129,131,131,131
0,0,0,5,14,17,25,35,41,55,169,227,241,242
2,7,10,18,19,26,34,41,46,54,94,132,171,192
9,13,26,40,57,66,85,93,113,127,261,348,409,450
6,18,20,30,43,56,67,90,93,98,157,212,246,286
5,14,29,41,56,71,86,101,115,126,208,293,342,375
1,6,12,15,19,25,31,46,52,60,123,211,309,397
7,10,19,27,37,46,58,65,73,93,262,450,620,709
0,0,0,8,34,52,71,84,105,119,203,256,305,330
0,0,3,14,32,44,57,70,81,89,169,214,249,287
6,19,32,39,55,66,74,89,102,109,242,379,516,562
0,6,27,44,54,64,69,73,79,88,164,265,362,447
0,7,29,69,98,122,140,160,177,195,423,581,679,744
0,0,7,45,68,83,105,118,129,147,278,405,484,549
0,0,8,22,34,40,44,49,53,58,110,139,140,140
0,0,0,0,1,14,39,63,80,99,326,531,744,928
3,9,19,22,31,44,51,64,75,91,242,385,511,648
22,40,55,73,88,109,123,142,159,174,258,341,435,492
4,17,28,35,47,54,60,70,77,82,153,226,303,326
16,45,67,102,137,178,210,233,269,295,557,786,1006,1216
38,94,131,164,213,267,307,360,415,455,836,1065,1212,1323
3,18,33,39,46,57,68,83,97,100,205,310,465,623
6,22,44,64,88,116,137,162,186,210,449,683,825,905
24,45,59,77,97,117,135,150,166,174,290,346,387,446
6,16,26,36,48,56,67,75,86,100,213,288,335,380
5,6,12,15,20,24,33,35,43,50,136,214,262,285
8,20,36,47,60,69,82,94,102,120,232,305,355,389
19,35,44,56,78,93,112,123,138,152,254,344,433,462
14,29,49,62,75,99,121,139,157,173,303,398,439,446
4,8,13,17,19,30,35,37,38,48,88,111,114,114
17,42,65,91,109,148,168,198,211,234,411,632,666,674
8,18,24,28,35,44,50,64,75,81,150,246,305,366
9,18,24,28,36,42,51,64,70,85,153,225,288,303
3,22,42,49,63,82,96,111,134,146,247,296,316,323
7,15,29,41,45,51,68,77,86,107,239,330,358,383
2,20,28,44,62,85,111,128,149,162,381,636,843,947
9,28,46,62,77,91,102,117,144,159,302,385,454,469
2,14,18,22,25,28,32,39,47,52,86,111,119,119
17,41,62,83,105,134,158,180,217,244,526,730,917,1091
0,6,12,15,19,21,25,30,36,39,79,119,154,196
0,2,22,34,51,60,71,78,96,107,239,363,478,560
4,28,84,104,129,166,200,226,257,293,660,1055,1434,1784
3,28,76,98,115,142,157,184,208,226,437,615,852,1135
12,23,28,41,54,69,84,97,115,134,301,484,679,751
3,10,28,44,68,84,118,134,149,171,452,723,975,1180
2,13,30,40,45,52,55,60,68,74,128,157,171,183
4,29,45,53,69,89,104,122,137,152,316,446,498,530
0,5,15,27,30,36,46,53,61,73,146,190,242,280
11,27,38,52,65,80,94,114,127,143,259,317,334,339
1,0,0,0,0,0,0,0,0,0,0,39,102,691
0,13,26,47,65,85,110,129,145,162,375,565,721,142
2,13,36,68,89,110,134,153,187,210,470,715,924,836
1,13,18,24,32,38,51,55,68,75,164,233,296,507
3,9,13,23,36,46,52,63,73,81,155,221,280,371
0,2,9,16,29,39,49,54,67,75,204,340,450,643
3,23,37,64,78,103,135,159,184,213,561,880,1135,957
10,35,48,69,86,105,137,163,186,210,427,577,639,1364
15,24,33,41,54,57,63,67,74,79,130,166,198,654
14,5,11,16,20,26,38,46,50,55,98,136,181,207
1,30,41,57,66,79,89,97,114,133,255,325,334,256
13,5,8,15,22,26,35,40,45,59,164,246,300,334
1,2,4,9,14,29,41,52,68,82,236,332,367,329
0,11,19,21,24,27,32,36,41,49,99,144,181,375
4,12,20,30,39,46,55,68,76,86,144,174,177,215
4,11,21,31,44,67,87,102,112,136,291,440,561,177
3,20,29,37,53,68,75,98,107,124,219,324,432,683
11,7,8,15,21,25,34,41,46,55,92,131,157,592
3,38,45,58,76,94,108,116,129,143,270,432,587,184
20,4,7,10,12,18,20,24,26,30,49,63,65,719
1,37,52,68,84,105,118,135,149,158,262,365,469,65
3,16,23,32,46,49,58,63,73,82,111,130,138,191
4,10,15,22,30,38,46,55,60,67,135,226,323,142
8,33,53,70,89,103,125,145,162,179,351,463,503,158
16,40,52,66,77,100,115,128,145,153,299,432,475,521
14,0,1,19,52,66,80,96,112,127,286,391,414,483
0,0,3,23,47,60,86,114,129,141,347,541,629,419
